colour	x	y	group	clickSelects
#F8766D	1603045800	4108	1	Andaman and Nicobar Islands
#F8766D	1603132200	4126	1	Andaman and Nicobar Islands
#F8766D	1603218600	4141	1	Andaman and Nicobar Islands
#F8766D	1603305000	4168	1	Andaman and Nicobar Islands
#F8766D	1603391400	4184	1	Andaman and Nicobar Islands
#F8766D	1603477800	4207	1	Andaman and Nicobar Islands
#F8766D	1603564200	4225	1	Andaman and Nicobar Islands
#F8766D	1603650600	4245	1	Andaman and Nicobar Islands
#F8766D	1603737000	4253	1	Andaman and Nicobar Islands
#F8766D	1603823400	4274	1	Andaman and Nicobar Islands
#F8766D	1603909800	4289	1	Andaman and Nicobar Islands
#F8766D	1603996200	4305	1	Andaman and Nicobar Islands
#F8766D	1604082600	4317	1	Andaman and Nicobar Islands
#F8766D	1604169000	4332	1	Andaman and Nicobar Islands
#F8766D	1604255400	4340	1	Andaman and Nicobar Islands
#F8766D	1604341800	4352	1	Andaman and Nicobar Islands
#F8766D	1604428200	4372	1	Andaman and Nicobar Islands
#F8766D	1604514600	4389	1	Andaman and Nicobar Islands
#F8766D	1604601000	4403	1	Andaman and Nicobar Islands
#F8766D	1604687400	4420	1	Andaman and Nicobar Islands
#F8766D	1604773800	4441	1	Andaman and Nicobar Islands
#F8766D	1604860200	4450	1	Andaman and Nicobar Islands
#F8766D	1604946600	4463	1	Andaman and Nicobar Islands
#F8766D	1605033000	4477	1	Andaman and Nicobar Islands
#F8766D	1605119400	4494	1	Andaman and Nicobar Islands
#F8766D	1605205800	4507	1	Andaman and Nicobar Islands
#F8766D	1605292200	4518	1	Andaman and Nicobar Islands
#F8766D	1605378600	4527	1	Andaman and Nicobar Islands
#F8766D	1605465000	4536	1	Andaman and Nicobar Islands
#F8766D	1605551400	4557	1	Andaman and Nicobar Islands
#F8766D	1605637800	4574	1	Andaman and Nicobar Islands
#F8766D	1605724200	4593	1	Andaman and Nicobar Islands
#F8766D	1605810600	4604	1	Andaman and Nicobar Islands
#F8766D	1605897000	4617	1	Andaman and Nicobar Islands
#F8766D	1605983400	4631	1	Andaman and Nicobar Islands
#F8766D	1606069800	4641	1	Andaman and Nicobar Islands
#F8766D	1606156200	4656	1	Andaman and Nicobar Islands
#F8766D	1606242600	4667	1	Andaman and Nicobar Islands
#F8766D	1606329000	4677	1	Andaman and Nicobar Islands
#F8766D	1606415400	4682	1	Andaman and Nicobar Islands
#F8766D	1606501800	4689	1	Andaman and Nicobar Islands
#F8766D	1606588200	4698	1	Andaman and Nicobar Islands
#F8766D	1606674600	4704	1	Andaman and Nicobar Islands
#F8766D	1606761000	4710	1	Andaman and Nicobar Islands
#F8766D	1606847400	4718	1	Andaman and Nicobar Islands
#F8766D	1606933800	4723	1	Andaman and Nicobar Islands
#F8766D	1607020200	4729	1	Andaman and Nicobar Islands
#F8766D	1607106600	4742	1	Andaman and Nicobar Islands
#F8766D	1607193000	4747	1	Andaman and Nicobar Islands
#F8766D	1607279400	4758	1	Andaman and Nicobar Islands
#F8766D	1607365800	4773	1	Andaman and Nicobar Islands
#F8766D	1607452200	4778	1	Andaman and Nicobar Islands
#F27C56	1583951400	1	2	Andhra Pradesh
#F27C56	1584037800	1	2	Andhra Pradesh
#F27C56	1584124200	1	2	Andhra Pradesh
#F27C56	1584210600	1	2	Andhra Pradesh
#F27C56	1584297000	1	2	Andhra Pradesh
#F27C56	1584383400	1	2	Andhra Pradesh
#F27C56	1584469800	1	2	Andhra Pradesh
#F27C56	1584556200	2	2	Andhra Pradesh
#F27C56	1584642600	3	2	Andhra Pradesh
#F27C56	1584729000	3	2	Andhra Pradesh
#F27C56	1584815400	5	2	Andhra Pradesh
#F27C56	1584901800	7	2	Andhra Pradesh
#F27C56	1584988200	8	2	Andhra Pradesh
#F27C56	1585074600	9	2	Andhra Pradesh
#F27C56	1585161000	11	2	Andhra Pradesh
#F27C56	1585247400	12	2	Andhra Pradesh
#F27C56	1585333800	14	2	Andhra Pradesh
#F27C56	1585420200	19	2	Andhra Pradesh
#F27C56	1585506600	23	2	Andhra Pradesh
#F27C56	1585593000	40	2	Andhra Pradesh
#F27C56	1585679400	83	2	Andhra Pradesh
#F27C56	1585765800	86	2	Andhra Pradesh
#F27C56	1585852200	132	2	Andhra Pradesh
#F27C56	1585938600	161	2	Andhra Pradesh
#F27C56	1586025000	190	2	Andhra Pradesh
#F27C56	1586111400	226	2	Andhra Pradesh
#F27C56	1586197800	266	2	Andhra Pradesh
#F27C56	1586284200	305	2	Andhra Pradesh
#F27C56	1586370600	348	2	Andhra Pradesh
#F27C56	1586457000	363	2	Andhra Pradesh
#F27C56	1586543400	381	2	Andhra Pradesh
#F27C56	1586629800	381	2	Andhra Pradesh
#F27C56	1586716200	432	2	Andhra Pradesh
#F27C56	1586802600	473	2	Andhra Pradesh
#F27C56	1586889000	503	2	Andhra Pradesh
#F27C56	1586975400	534	2	Andhra Pradesh
#F27C56	1587061800	572	2	Andhra Pradesh
#F27C56	1587148200	603	2	Andhra Pradesh
#F27C56	1587234600	603	2	Andhra Pradesh
#F27C56	1587321000	722	2	Andhra Pradesh
#F27C56	1587407400	757	2	Andhra Pradesh
#F27C56	1587493800	813	2	Andhra Pradesh
#F27C56	1587580200	895	2	Andhra Pradesh
#F27C56	1587666600	955	2	Andhra Pradesh
#F27C56	1587753000	1061	2	Andhra Pradesh
#F27C56	1587839400	1097	2	Andhra Pradesh
#F27C56	1587925800	1177	2	Andhra Pradesh
#F27C56	1588012200	1259	2	Andhra Pradesh
#F27C56	1588098600	1332	2	Andhra Pradesh
#F27C56	1588185000	1403	2	Andhra Pradesh
#F27C56	1588271400	1463	2	Andhra Pradesh
#F27C56	1588357800	1463	2	Andhra Pradesh
#F27C56	1588444200	1583	2	Andhra Pradesh
#F27C56	1588530600	1650	2	Andhra Pradesh
#F27C56	1588617000	1717	2	Andhra Pradesh
#F27C56	1588703400	1717	2	Andhra Pradesh
#F27C56	1588789800	1777	2	Andhra Pradesh
#F27C56	1588876200	1847	2	Andhra Pradesh
#F27C56	1588962600	1887	2	Andhra Pradesh
#F27C56	1589049000	1930	2	Andhra Pradesh
#F27C56	1589135400	1980	2	Andhra Pradesh
#F27C56	1589221800	2018	2	Andhra Pradesh
#F27C56	1589308200	2090	2	Andhra Pradesh
#F27C56	1589394600	2137	2	Andhra Pradesh
#F27C56	1589481000	2205	2	Andhra Pradesh
#F27C56	1589567400	2307	2	Andhra Pradesh
#F27C56	1589653800	2355	2	Andhra Pradesh
#F27C56	1589740200	2407	2	Andhra Pradesh
#F27C56	1589826600	2474	2	Andhra Pradesh
#F27C56	1589913000	2532	2	Andhra Pradesh
#F27C56	1589999400	2602	2	Andhra Pradesh
#F27C56	1590085800	2647	2	Andhra Pradesh
#F27C56	1590172200	2709	2	Andhra Pradesh
#F27C56	1590258600	2757	2	Andhra Pradesh
#F27C56	1590345000	2823	2	Andhra Pradesh
#F27C56	1590431400	3110	2	Andhra Pradesh
#F27C56	1590517800	3171	2	Andhra Pradesh
#F27C56	1590604200	3171	2	Andhra Pradesh
#F27C56	1590690600	3251	2	Andhra Pradesh
#F27C56	1590777000	3436	2	Andhra Pradesh
#F27C56	1590863400	3569	2	Andhra Pradesh
#F27C56	1590949800	3679	2	Andhra Pradesh
#F27C56	1591036200	3783	2	Andhra Pradesh
#F27C56	1591122600	3898	2	Andhra Pradesh
#F27C56	1591209000	4080	2	Andhra Pradesh
#F27C56	1591295400	4223	2	Andhra Pradesh
#F27C56	1591381800	4303	2	Andhra Pradesh
#F27C56	1591468200	4510	2	Andhra Pradesh
#F27C56	1591554600	4708	2	Andhra Pradesh
#F27C56	1591641000	4851	2	Andhra Pradesh
#F27C56	1591727400	5070	2	Andhra Pradesh
#F27C56	1591813800	5269	2	Andhra Pradesh
#F27C56	1591900200	5429	2	Andhra Pradesh
#F27C56	1591986600	5680	2	Andhra Pradesh
#F27C56	1592073000	5965	2	Andhra Pradesh
#F27C56	1592159400	6163	2	Andhra Pradesh
#F27C56	1592245800	6456	2	Andhra Pradesh
#F27C56	1592332200	6841	2	Andhra Pradesh
#F27C56	1592418600	7071	2	Andhra Pradesh
#F27C56	1592505000	7518	2	Andhra Pradesh
#F27C56	1592591400	7961	2	Andhra Pradesh
#F27C56	1592677800	8452	2	Andhra Pradesh
#F27C56	1592764200	8999	2	Andhra Pradesh
#F27C56	1592850600	9372	2	Andhra Pradesh
#F27C56	1592937000	10002	2	Andhra Pradesh
#F27C56	1593023400	10331	2	Andhra Pradesh
#F27C56	1593109800	10884	2	Andhra Pradesh
#F27C56	1593196200	11489	2	Andhra Pradesh
#F27C56	1593282600	12285	2	Andhra Pradesh
#F27C56	1593369000	13241	2	Andhra Pradesh
#F27C56	1593455400	13891	2	Andhra Pradesh
#F27C56	1593541800	14595	2	Andhra Pradesh
#F27C56	1593628200	15252	2	Andhra Pradesh
#F27C56	1593714600	16097	2	Andhra Pradesh
#F27C56	1593801000	16934	2	Andhra Pradesh
#F27C56	1593887400	17699	2	Andhra Pradesh
#F27C56	1593973800	18697	2	Andhra Pradesh
#F27C56	1594060200	20019	2	Andhra Pradesh
#F27C56	1594146600	21197	2	Andhra Pradesh
#F27C56	1594233000	22259	2	Andhra Pradesh
#F27C56	1594319400	23814	2	Andhra Pradesh
#F27C56	1594405800	25422	2	Andhra Pradesh
#F27C56	1594492200	27235	2	Andhra Pradesh
#F27C56	1594578600	29168	2	Andhra Pradesh
#F27C56	1594665000	31103	2	Andhra Pradesh
#F27C56	1594751400	33019	2	Andhra Pradesh
#F27C56	1594837800	35451	2	Andhra Pradesh
#F27C56	1594924200	38044	2	Andhra Pradesh
#F27C56	1595010600	40646	2	Andhra Pradesh
#F27C56	1595097000	44609	2	Andhra Pradesh
#F27C56	1595183400	49650	2	Andhra Pradesh
#F27C56	1595269800	53724	2	Andhra Pradesh
#F27C56	1595356200	58668	2	Andhra Pradesh
#F27C56	1595442600	64713	2	Andhra Pradesh
#F27C56	1595529000	72711	2	Andhra Pradesh
#F27C56	1595615400	80858	2	Andhra Pradesh
#F27C56	1595701800	88671	2	Andhra Pradesh
#F27C56	1595788200	96298	2	Andhra Pradesh
#F27C56	1595874600	102349	2	Andhra Pradesh
#F27C56	1595961000	110297	2	Andhra Pradesh
#F27C56	1596047400	120390	2	Andhra Pradesh
#F27C56	1596133800	130557	2	Andhra Pradesh
#F27C56	1596220200	140933	2	Andhra Pradesh
#F27C56	1596306600	150209	2	Andhra Pradesh
#F27C56	1596393000	158764	2	Andhra Pradesh
#F27C56	1596479400	166586	2	Andhra Pradesh
#F27C56	1596565800	176333	2	Andhra Pradesh
#F27C56	1596652200	186461	2	Andhra Pradesh
#F27C56	1596738600	196789	2	Andhra Pradesh
#F27C56	1596825000	206960	2	Andhra Pradesh
#F27C56	1596911400	217040	2	Andhra Pradesh
#F27C56	1596997800	227860	2	Andhra Pradesh
#F27C56	1597084200	235525	2	Andhra Pradesh
#F27C56	1597170600	244549	2	Andhra Pradesh
#F27C56	1597257000	254146	2	Andhra Pradesh
#F27C56	1597343400	264142	2	Andhra Pradesh
#F27C56	1597429800	273085	2	Andhra Pradesh
#F27C56	1597516200	281817	2	Andhra Pradesh
#F27C56	1597602600	289829	2	Andhra Pradesh
#F27C56	1597689000	296609	2	Andhra Pradesh
#F27C56	1597775400	306261	2	Andhra Pradesh
#F27C56	1597861800	316003	2	Andhra Pradesh
#F27C56	1597948200	325396	2	Andhra Pradesh
#F27C56	1598034600	334940	2	Andhra Pradesh
#F27C56	1598121000	345216	2	Andhra Pradesh
#F27C56	1598207400	353111	2	Andhra Pradesh
#F27C56	1598293800	361712	2	Andhra Pradesh
#F27C56	1598380200	371639	2	Andhra Pradesh
#F27C56	1598466600	382469	2	Andhra Pradesh
#F27C56	1598553000	393090	2	Andhra Pradesh
#F27C56	1598639400	403616	2	Andhra Pradesh
#F27C56	1598725800	414164	2	Andhra Pradesh
#F27C56	1598812200	424767	2	Andhra Pradesh
#F27C56	1598898600	434771	2	Andhra Pradesh
#F27C56	1598985000	445139	2	Andhra Pradesh
#F27C56	1599071400	455531	2	Andhra Pradesh
#F27C56	1599157800	465730	2	Andhra Pradesh
#F27C56	1599244200	476506	2	Andhra Pradesh
#F27C56	1599330600	487331	2	Andhra Pradesh
#F27C56	1599417000	498125	2	Andhra Pradesh
#F27C56	1599503400	506493	2	Andhra Pradesh
#F27C56	1599589800	517094	2	Andhra Pradesh
#F27C56	1599676200	527512	2	Andhra Pradesh
#F27C56	1599762600	537687	2	Andhra Pradesh
#F27C56	1599849000	547686	2	Andhra Pradesh
#F27C56	1599935400	557587	2	Andhra Pradesh
#F27C56	1600021800	567123	2	Andhra Pradesh
#F27C56	1600108200	575079	2	Andhra Pradesh
#F27C56	1600194600	583925	2	Andhra Pradesh
#F27C56	1600281000	592760	2	Andhra Pradesh
#F27C56	1600367400	601462	2	Andhra Pradesh
#F27C56	1600453800	609558	2	Andhra Pradesh
#F27C56	1600540200	617776	2	Andhra Pradesh
#F27C56	1600626600	625514	2	Andhra Pradesh
#F27C56	1600713000	631749	2	Andhra Pradesh
#F27C56	1600799400	639302	2	Andhra Pradesh
#F27C56	1600885800	646530	2	Andhra Pradesh
#F27C56	1600972200	654385	2	Andhra Pradesh
#F27C56	1601058600	661458	2	Andhra Pradesh
#F27C56	1601145000	668751	2	Andhra Pradesh
#F27C56	1601231400	675674	2	Andhra Pradesh
#F27C56	1601317800	681161	2	Andhra Pradesh
#F27C56	1601404200	687351	2	Andhra Pradesh
#F27C56	1601490600	693484	2	Andhra Pradesh
#F27C56	1601577000	700235	2	Andhra Pradesh
#F27C56	1601663400	706790	2	Andhra Pradesh
#F27C56	1601749800	713014	2	Andhra Pradesh
#F27C56	1601836200	719256	2	Andhra Pradesh
#F27C56	1601922600	723512	2	Andhra Pradesh
#F27C56	1602009000	729307	2	Andhra Pradesh
